state,county,candidate,party,total_votes,won,Vote_Share_Of_Each_Party,"Vote_Share_Scale_(0:Dem,1:Rep)"
Delaware,Kent County,Joe Biden,DEM,44552,TRUE,0.520704527,0.479295473
Delaware,New Castle County,Joe Biden,DEM,195034,TRUE,0.688198223,0.311801777
Delaware,Sussex County,Donald Trump,REP,71230,TRUE,0.556867221,0.556867221
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,0.957685326,0.042314674
District of Columbia,Ward 2,Joe Biden,DEM,29078,TRUE,0.9088011,0.0911989
District of Columbia,Ward 3,Joe Biden,DEM,39397,TRUE,0.914041112,0.085958888
District of Columbia,Ward 4,Joe Biden,DEM,42489,TRUE,0.956916355,0.043083645
District of Columbia,Ward 5,Joe Biden,DEM,43320,TRUE,0.960766484,0.039233516
District of Columbia,Ward 6,Joe Biden,DEM,56719,TRUE,0.92896685,0.07103315
District of Columbia,Ward 7,Joe Biden,DEM,36382,TRUE,0.969772897,0.030227103
District of Columbia,Ward 8,Joe Biden,DEM,30897,TRUE,0.966074667,0.033925333
Florida,Alachua County,Joe Biden,DEM,89704,TRUE,0.637663852,0.362336148
Florida,Baker County,Donald Trump,REP,11911,TRUE,0.853957557,0.853957557
Florida,Bay County,Donald Trump,REP,66097,TRUE,0.72070962,0.72070962
Florida,Bradford County,Donald Trump,REP,10334,TRUE,0.765821847,0.765821847
Florida,Brevard County,Donald Trump,REP,207883,TRUE,0.583233267,0.583233267
Florida,Broward County,Joe Biden,DEM,618752,TRUE,0.64983968,0.35016032
Florida,Calhoun County,Donald Trump,REP,5274,TRUE,0.813512263,0.813512263
Florida,Charlotte County,Donald Trump,REP,73243,TRUE,0.634050694,0.634050694
Florida,Citrus County,Donald Trump,REP,65352,TRUE,0.706936091,0.706936091
Florida,Clay County,Donald Trump,REP,84480,TRUE,0.68796469,0.68796469
Florida,Collier County,Donald Trump,REP,128950,TRUE,0.624240576,0.624240576
Florida,Columbia County,Donald Trump,REP,23836,TRUE,0.727816794,0.727816794
Florida,DeSoto County,Donald Trump,REP,8313,TRUE,0.661231308,0.661231308
Florida,Dixie County,Donald Trump,REP,6759,TRUE,0.831979321,0.831979321
Florida,Duval County,Joe Biden,DEM,252556,TRUE,0.519322748,0.480677252
Florida,Escambia County,Donald Trump,REP,96674,TRUE,0.576803518,0.576803518
Florida,Flagler County,Donald Trump,REP,43043,TRUE,0.604502556,0.604502556
Florida,Franklin County,Donald Trump,REP,4675,TRUE,0.688005887,0.688005887
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE,0.683927513,0.316072487
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE,0.822824388,0.822824388
Florida,Glades County,Donald Trump,REP,3782,TRUE,0.731952777,0.731952777
Florida,Gulf County,Donald Trump,REP,6113,TRUE,0.754877748,0.754877748
Florida,Hamilton County,Donald Trump,REP,3815,TRUE,0.660263067,0.660263067
Florida,Hardee County,Donald Trump,REP,6122,TRUE,0.727078385,0.727078385
Florida,Hendry County,Donald Trump,REP,7906,TRUE,0.615971952,0.615971952
Florida,Hernando County,Donald Trump,REP,70412,TRUE,0.652379761,0.652379761
Florida,Highlands County,Donald Trump,REP,34873,TRUE,0.673081006,0.673081006
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE,0.534790733,0.465209267
Florida,Holmes County,Donald Trump,REP,8080,TRUE,0.897378943,0.897378943
Florida,Indian River County,Donald Trump,REP,58872,TRUE,0.608710038,0.608710038
Florida,Jackson County,Donald Trump,REP,15488,TRUE,0.69596477,0.69596477
Florida,Jefferson County,Donald Trump,REP,4479,TRUE,0.53474212,0.53474212
Florida,Lafayette County,Donald Trump,REP,3128,TRUE,0.859813084,0.859813084
Florida,Lake County,Donald Trump,REP,125859,TRUE,0.601149195,0.601149195
Florida,Lee County,Donald Trump,REP,233247,TRUE,0.596628144,0.596628144
Florida,Leon County,Joe Biden,DEM,103517,TRUE,0.643082562,0.356917438
Florida,Levy County,Donald Trump,REP,16749,TRUE,0.729676745,0.729676745
Florida,Liberty County,Donald Trump,REP,2846,TRUE,0.803954802,0.803954802
Florida,Madison County,Donald Trump,REP,5576,TRUE,0.598090743,0.598090743
Florida,Manatee County,Donald Trump,REP,124987,TRUE,0.580921484,0.580921484
Florida,Marion County,Donald Trump,REP,127826,TRUE,0.630666456,0.630666456
Florida,Martin County,Donald Trump,REP,61168,TRUE,0.623774997,0.623774997
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE,0.536947607,0.463052393
Florida,Monroe County,Donald Trump,REP,25693,TRUE,0.5400639,0.5400639
Florida,Nassau County,Donald Trump,REP,42566,TRUE,0.73225529,0.73225529
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE,0.699700121,0.699700121
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE,0.723203026,0.723203026
Florida,Orange County,Joe Biden,DEM,395014,TRUE,0.616812302,0.383187698
Florida,Osceola County,Joe Biden,DEM,97297,TRUE,0.569731287,0.430268713
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE,0.564338922,0.435661078
Florida,Pasco County,Donald Trump,REP,179621,TRUE,0.601354564,0.601354564
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE,0.501120726,0.498879274
Florida,Polk County,Donald Trump,REP,194586,TRUE,0.572926818,0.572926818
Florida,Putnam County,Donald Trump,REP,25514,TRUE,0.707915985,0.707915985
Florida,St. Johns County,Donald Trump,REP,110946,TRUE,0.634717042,0.634717042
Florida,St. Lucie County,Donald Trump,REP,86831,TRUE,0.507878667,0.507878667
Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE,0.737021058,0.737021058
Florida,Sarasota County,Donald Trump,REP,148370,TRUE,0.552629619,0.552629619
Florida,Seminole County,Joe Biden,DEM,132528,TRUE,0.514134749,0.485865251
Florida,Sumter County,Donald Trump,REP,62761,TRUE,0.681429285,0.681429285
Florida,Suwannee County,Donald Trump,REP,16410,TRUE,0.785355348,0.785355348
Florida,Taylor County,Donald Trump,REP,7751,TRUE,0.771243781,0.771243781
Florida,Union County,Donald Trump,REP,5133,TRUE,0.829776916,0.829776916
Florida,Volusia County,Donald Trump,REP,173821,TRUE,0.571035756,0.571035756
Florida,Wakulla County,Donald Trump,REP,12874,TRUE,0.706392318,0.706392318
Florida,Walton County,Donald Trump,REP,32947,TRUE,0.761164376,0.761164376
Florida,Washington County,Donald Trump,REP,9876,TRUE,0.807984946,0.807984946
Georgia,Appling County,Donald Trump,REP,6570,TRUE,0.786449605,0.786449605
Georgia,Atkinson County,Donald Trump,REP,2300,TRUE,0.736,0.736
Georgia,Bacon County,Donald Trump,REP,4017,TRUE,0.865359759,0.865359759
Georgia,Baker County,Donald Trump,REP,897,TRUE,0.57908328,0.57908328
Georgia,Baldwin County,Joe Biden,DEM,9140,TRUE,0.506567644,0.493432356
Georgia,Banks County,Donald Trump,REP,7795,TRUE,0.893204996,0.893204996
Georgia,Barrow County,Donald Trump,REP,26804,TRUE,0.719435274,0.719435274
Georgia,Bartow County,Donald Trump,REP,37672,TRUE,0.757028314,0.757028314
Georgia,Ben Hill County,Donald Trump,REP,4111,TRUE,0.632072571,0.632072571
Georgia,Berrien County,Donald Trump,REP,6419,TRUE,0.834937565,0.834937565
Georgia,Bibb County,Joe Biden,DEM,43408,TRUE,0.620406763,0.379593237
Georgia,Bleckley County,Donald Trump,REP,4329,TRUE,0.767417125,0.767417125
Georgia,Brantley County,Donald Trump,REP,6993,TRUE,0.909008189,0.909008189
Georgia,Brooks County,Donald Trump,REP,4261,TRUE,0.604225752,0.604225752
Georgia,Bryan County,Donald Trump,REP,14240,TRUE,0.678806369,0.678806369
Georgia,Bulloch County,Donald Trump,REP,18387,TRUE,0.620448794,0.620448794
Georgia,Burke County,Donald Trump,REP,5400,TRUE,0.509049774,0.509049774
Georgia,Butts County,Donald Trump,REP,8406,TRUE,0.719691781,0.719691781
Georgia,Calhoun County,Joe Biden,DEM,1263,TRUE,0.577767612,0.422232388
Georgia,Camden County,Donald Trump,REP,15249,TRUE,0.656831496,0.656831496
Georgia,Candler County,Donald Trump,REP,3133,TRUE,0.711721945,0.711721945
Georgia,Carroll County,Donald Trump,REP,37476,TRUE,0.69772118,0.69772118
Georgia,Catoosa County,Donald Trump,REP,25167,TRUE,0.784043117,0.784043117
Georgia,Charlton County,Donald Trump,REP,3419,TRUE,0.755747126,0.755747126
Georgia,Chatham County,Joe Biden,DEM,78247,TRUE,0.59512926,0.40487074
Georgia,Chattahoochee County,Donald Trump,REP,880,TRUE,0.568842922,0.568842922
Georgia,Chattooga County,Donald Trump,REP,8064,TRUE,0.813067151,0.813067151
Georgia,Cherokee County,Donald Trump,REP,99585,TRUE,0.699509708,0.699509708
Georgia,Clarke County,Joe Biden,DEM,36055,TRUE,0.713889714,0.286110286
Georgia,Clay County,Joe Biden,DEM,791,TRUE,0.553921569,0.446078431
Georgia,Clayton County,Joe Biden,DEM,95466,TRUE,0.857913136,0.142086864
Georgia,Clinch County,Donald Trump,REP,2105,TRUE,0.738855739,0.738855739
Georgia,Cobb County,Joe Biden,DEM,221847,TRUE,0.572829171,0.427170829
Georgia,Coffee County,Donald Trump,REP,10578,TRUE,0.701040493,0.701040493
Georgia,Colquitt County,Donald Trump,REP,11777,TRUE,0.737583767,0.737583767
Georgia,Columbia County,Donald Trump,REP,50013,TRUE,0.631118683,0.631118683
Georgia,Cook County,Donald Trump,REP,4900,TRUE,0.704124156,0.704124156
Georgia,Coweta County,Donald Trump,REP,51501,TRUE,0.680231406,0.680231406
Georgia,Crawford County,Donald Trump,REP,4428,TRUE,0.732748635,0.732748635
Georgia,Crisp County,Donald Trump,REP,4985,TRUE,0.625706037,0.625706037
Georgia,Dade County,Donald Trump,REP,6066,TRUE,0.82789682,0.82789682
Georgia,Dawson County,Donald Trump,REP,13398,TRUE,0.843490305,0.843490305
Georgia,Decatur County,Donald Trump,REP,6755,TRUE,0.585507498,0.585507498
Georgia,DeKalb County,Joe Biden,DEM,308162,TRUE,0.840734547,0.159265453
Georgia,Dodge County,Donald Trump,REP,5843,TRUE,0.72900811,0.72900811
Georgia,Dooly County,Donald Trump,REP,2159,TRUE,0.53046683,0.53046683
Georgia,Dougherty County,Joe Biden,DEM,24568,TRUE,0.701762404,0.298237596
